-- run 1 events --
class             start      dur     rest
  2 (absent)     114.65     0.25     7.15
  2 (absent)     122.05     0.25     7.90
  1 (low_vis)    130.20     0.25     7.50
  1 (low_vis)    137.95     0.25     7.20
  0 (high_vis)   145.40     0.25     5.80
  1 (low_vis)    151.45     0.25     8.15
  0 (high_vis)   159.85     0.25     6.00
  0 (high_vis)   166.10     0.25     6.80
  1 (low_vis)    173.15     0.25     6.30
  2 (absent)     179.70     0.25     8.85
  0 (high_vis)   188.80     0.25     7.45
  2 (absent)     196.50     0.25     8.20
  0 (high_vis)   204.95     0.25     7.75
  2 (absent)     212.95     0.25     8.40
  2 (absent)     221.60     0.25     7.45
  0 (high_vis)   229.30     0.25     8.50
  0 (high_vis)   238.05     0.25     7.20
  1 (low_vis)    245.50     0.25     8.50
  0 (high_vis)   254.25     0.25     5.70
  2 (absent)     260.20     0.25     6.75
  0 (high_vis)   267.20     0.25     5.65
  0 (high_vis)   273.10     0.25     6.25
  0 (high_vis)   279.60     0.25     8.05
  1 (low_vis)    287.90     0.25     6.00
  2 (absent)     294.15     0.25     8.95
  1 (low_vis)    303.35     0.25     8.90
  2 (absent)     312.50     0.25     7.80
  1 (low_vis)    320.55     0.25     5.90
  2 (absent)     326.70     0.25     8.55
  0 (high_vis)   335.50     0.25     7.65
  0 (high_vis)   343.40     0.25     6.35

-- run 3 events --
class             start      dur     rest
-----             -----     ----     ----
  1 (low_vis)      6.00     0.25     6.50
  0 (high_vis)    12.75     0.25     6.75
  2 (absent)      19.75     0.25     7.50
  0 (high_vis)    27.50     0.25     7.25
  1 (low_vis)     35.00     0.25     6.20
  2 (absent)      41.45     0.25     7.25
  1 (low_vis)     48.95     0.25     8.15
  2 (absent)      57.35     0.25     7.40
  2 (absent)      65.00     0.25     7.30
  1 (low_vis)     72.55     0.25     8.65
  0 (high_vis)    81.45     0.25     9.00
  2 (absent)      90.70     0.25     5.75
  2 (absent)      96.70     0.25     6.45
  0 (high_vis)   103.40     0.25     6.15
  2 (absent)     109.80     0.25     8.50
  0 (high_vis)   118.55     0.25     6.80
  2 (absent)     125.60     0.25     9.00
  1 (low_vis)    134.85     0.25     8.70
  0 (high_vis)   143.80     0.25     7.15
  1 (low_vis)    151.20     0.25     7.85
  2 (absent)     159.30     0.25     7.15
  0 (high_vis)   166.70     0.25     8.95
  0 (high_vis)   175.90     0.25     6.35
  0 (high_vis)   182.50     0.25     8.95
  1 (low_vis)    191.70     0.25     6.05
  1 (low_vis)    198.00     0.25     5.60
  2 (absent)     203.85     0.25     8.80
  1 (low_vis)    212.90     0.25     7.65
  2 (absent)     220.80     0.25     6.50
  2 (absent)     227.55     0.25     7.50
  0 (high_vis)   235.30     0.25     8.80
  1 (low_vis)    244.35     0.25     7.15
  1 (low_vis)    251.75     0.25     8.40
  0 (high_vis)   260.40     0.25     9.00
  0 (high_vis)   269.65     0.25     5.60
  0 (high_vis)   275.50     0.25     7.85
  1 (low_vis)    283.60     0.25     7.80
  2 (absent)     291.65     0.25     7.10
  1 (low_vis)    299.00     0.25     5.60
  2 (absent)     304.85     0.25     6.55
  1 (low_vis)    311.65     0.25     7.50
  0 (high_vis)   319.40     0.25     5.90
  0 (high_vis)   325.55     0.25     8.65
  2 (absent)     334.45     0.25     8.05
  1 (low_vis)    342.75     0.25     7.00

-- run 4 events --
class             start      dur     rest
-----             -----     ----     ----
  2 (absent)       6.00     0.25     8.15
  2 (absent)      14.40     0.25     7.15
  1 (low_vis)     21.80     0.25     8.90
  1 (low_vis)     30.95     0.25     6.75
  2 (absent)      37.95     0.25     8.80
  0 (high_vis)    47.00     0.25     7.70
  0 (high_vis)    54.95     0.25     5.65
  2 (absent)      60.85     0.25     8.50
  0 (high_vis)    69.60     0.25     8.00
  0 (high_vis)    77.85     0.25     7.60
  0 (high_vis)    85.70     0.25     6.20
  0 (high_vis)    92.15     0.25     8.85
  1 (low_vis)    101.25     0.25     7.95
  1 (low_vis)    109.45     0.25     6.25
  2 (absent)     115.95     0.25     8.60
  1 (low_vis)    124.80     0.25     8.20
  1 (low_vis)    133.25     0.25     7.40
  1 (low_vis)    140.90     0.25     6.25
  0 (high_vis)   147.40     0.25     6.05
  2 (absent)     153.70     0.25     5.50
  2 (absent)     159.45     0.25     6.90
  1 (low_vis)    166.60     0.25     5.60
  0 (high_vis)   172.45     0.25     8.10
  2 (absent)     180.80     0.25     8.70
  1 (low_vis)    189.75     0.25     8.60
  2 (absent)     198.60     0.25     6.70
  1 (low_vis)    205.55     0.25     6.30
  2 (absent)     212.10     0.25     8.35
  2 (absent)     220.70     0.25     7.95
  2 (absent)     228.90     0.25     6.25
  1 (low_vis)    235.40     0.25     8.20
  0 (high_vis)   243.85     0.25     5.55
  0 (high_vis)   249.65     0.25     8.45
  0 (high_vis)   258.35     0.25     6.30
  1 (low_vis)    264.90     0.25     7.00
  2 (absent)     272.15     0.25     7.75
  0 (high_vis)   280.15     0.25     7.80
  2 (absent)     288.20     0.25     7.95
  1 (low_vis)    296.40     0.25     8.00
  0 (high_vis)   304.65     0.25     7.40
  0 (high_vis)   312.30     0.25     5.90
  0 (high_vis)   318.45     0.25     8.75
  1 (low_vis)    327.45     0.25     6.40
  2 (absent)     334.10     0.25     8.70
  1 (low_vis)    343.05     0.25     6.70

-- run 5 events --
class             start      dur     rest
-----             -----     ----     ----
  2 (absent)       6.00     0.25     8.75
  0 (high_vis)    15.00     0.25     8.55
  1 (low_vis)     23.80     0.25     8.40
  0 (high_vis)    32.45     0.25     7.30
  1 (low_vis)     40.00     0.25     6.40
  2 (absent)      46.65     0.25     6.55
  0 (high_vis)    53.45     0.25     6.25
  1 (low_vis)     59.95     0.25     8.65
  2 (absent)      68.85     0.25     6.25
  1 (low_vis)     75.35     0.25     7.95
  0 (high_vis)    83.55     0.25     6.90
  0 (high_vis)    90.70     0.25     6.15
  2 (absent)      97.10     0.25     6.15
  2 (absent)     103.50     0.25     6.05
  2 (absent)     109.80     0.25     7.20
  2 (absent)     117.25     0.25     8.85
  1 (low_vis)    126.35     0.25     9.00
  0 (high_vis)   135.60     0.25     5.60
  0 (high_vis)   141.45     0.25     6.45
  1 (low_vis)    148.15     0.25     8.45
  2 (absent)     156.85     0.25     6.30
  2 (absent)     163.40     0.25     8.30
  0 (high_vis)   171.95     0.25     7.80
  1 (low_vis)    180.00     0.25     7.10
  0 (high_vis)   187.35     0.25     7.30
  1 (low_vis)    194.90     0.25     8.00
  2 (absent)     203.15     0.25     8.15
  0 (high_vis)   211.55     0.25     6.20
  0 (high_vis)   218.00     0.25     7.90
  1 (low_vis)    226.15     0.25     9.00
  1 (low_vis)    235.40     0.25     8.05
  1 (low_vis)    243.70     0.25     7.90
  1 (low_vis)    251.85     0.25     7.55
  2 (absent)     259.65     0.25     6.60
  2 (absent)     266.50     0.25     5.90
  0 (high_vis)   272.65     0.25     7.25
  0 (high_vis)   280.15     0.25     6.50
  0 (high_vis)   286.90     0.25     8.25
  2 (absent)     295.40     0.25     7.05
  1 (low_vis)    302.70     0.25     8.40
  0 (high_vis)   311.35     0.25     6.70
  1 (low_vis)    318.30     0.25     5.50
  2 (absent)     324.05     0.25     7.55
  2 (absent)     331.85     0.25     8.65
  1 (low_vis)    340.75     0.25     9.00

-- run 6 events --
class             start      dur     rest
-----             -----     ----     ----
  1 (low_vis)      6.00     0.25     7.80
  0 (high_vis)    14.05     0.25     7.85
  1 (low_vis)     22.15     0.25     7.15
  2 (absent)      29.55     0.25     5.90
  2 (absent)      35.70     0.25     9.00
  0 (high_vis)    44.95     0.25     7.30
  0 (high_vis)    52.50     0.25     7.45
  1 (low_vis)     60.20     0.25     8.35
  1 (low_vis)     68.80     0.25     6.10
  2 (absent)      75.15     0.25     5.75
  2 (absent)      81.15     0.25     5.50
  1 (low_vis)     86.90     0.25     7.35
  0 (high_vis)    94.50     0.25     8.25
  1 (low_vis)    103.00     0.25     8.00
  2 (absent)     111.25     0.25     8.85
  0 (high_vis)   120.35     0.25     8.90
  2 (absent)     129.50     0.25     7.30
  1 (low_vis)    137.05     0.25     7.40
  2 (absent)     144.70     0.25     6.35
  2 (absent)     151.30     0.25     9.00
  0 (high_vis)   160.55     0.25     8.80
  0 (high_vis)   169.60     0.25     8.55
  0 (high_vis)   178.40     0.25     8.90
  1 (low_vis)    187.55     0.25     7.45
  2 (absent)     195.25     0.25     5.80
  2 (absent)     201.30     0.25     7.60
  1 (low_vis)    209.15     0.25     8.30
  2 (absent)     217.70     0.25     5.55
  0 (high_vis)   223.50     0.25     7.10
  0 (high_vis)   230.85     0.25     7.95
  0 (high_vis)   239.05     0.25     8.25
  2 (absent)     247.55     0.25     6.65
  1 (low_vis)    254.45     0.25     5.85
  1 (low_vis)    260.55     0.25     6.40
  0 (high_vis)   267.20     0.25     8.60
  1 (low_vis)    276.05     0.25     5.75
  2 (absent)     282.05     0.25     8.30
  1 (low_vis)    290.60     0.25     5.75
  0 (high_vis)   296.60     0.25     8.75
  2 (absent)     305.60     0.25     9.00
  1 (low_vis)    314.85     0.25     6.35
  0 (high_vis)   321.45     0.25     5.60
  1 (low_vis)    327.30     0.25     5.55
  0 (high_vis)   333.10     0.25     8.40
  2 (absent)     341.75     0.25     8.00

-- run 7 events --
class             start      dur     rest
-----             -----     ----     ----
  0 (high_vis)     6.00     0.25     5.65
  0 (high_vis)    11.90     0.25     7.90
  2 (absent)      20.05     0.25     8.70
  2 (absent)      29.00     0.25     7.80
  1 (low_vis)     37.05     0.25     5.80
  1 (low_vis)     43.10     0.25     7.65
  1 (low_vis)     51.00     0.25     6.00
  1 (low_vis)     57.25     0.25     8.15
  1 (low_vis)     65.65     0.25     8.00
  2 (absent)      73.90     0.25     5.70
  2 (absent)      79.85     0.25     7.20
  0 (high_vis)    87.30     0.25     7.45
  1 (low_vis)     95.00     0.25     6.00
  2 (absent)     101.25     0.25     7.40
  0 (high_vis)   108.90     0.25     8.25
  0 (high_vis)   117.40     0.25     6.10
  0 (high_vis)   123.75     0.25     7.55
  0 (high_vis)   131.55     0.25     6.15
  1 (low_vis)    137.95     0.25     8.95
  2 (absent)     147.15     0.25     8.45
  2 (absent)     155.85     0.25     8.95
  1 (low_vis)    165.05     0.25     8.80
  0 (high_vis)   174.10     0.25     8.10
  1 (low_vis)    182.45     0.25     8.20
  0 (high_vis)   190.90     0.25     8.10
  0 (high_vis)   199.25     0.25     5.65
  2 (absent)     205.15     0.25     6.00
  2 (absent)     211.40     0.25     6.25
  1 (low_vis)    217.90     0.25     7.10
  1 (low_vis)    225.25     0.25     8.85
  2 (absent)     234.35     0.25     8.55
  2 (absent)     243.15     0.25     6.15
  1 (low_vis)    249.55     0.25     8.25
  1 (low_vis)    258.05     0.25     7.70
  0 (high_vis)   266.00     0.25     8.45
  2 (absent)     274.70     0.25     6.75
  0 (high_vis)   281.70     0.25     7.75
  0 (high_vis)   289.70     0.25     5.75
  2 (absent)     295.70     0.25     6.05
  0 (high_vis)   302.00     0.25     8.90
  2 (absent)     311.15     0.25     5.65
  1 (low_vis)    317.05     0.25     8.90
  2 (absent)     326.20     0.25     6.35
  1 (low_vis)    332.80     0.25     7.70
  0 (high_vis)   340.75     0.25     9.00

-- run 8 events --
class             start      dur     rest
-----             -----     ----     ----
  1 (low_vis)      6.00     0.25     7.00
  2 (absent)      13.25     0.25     5.80
  0 (high_vis)    19.30     0.25     7.20
  1 (low_vis)     26.75     0.25     6.40
  2 (absent)      33.40     0.25     5.55
  1 (low_vis)     39.20     0.25     8.40
  1 (low_vis)     47.85     0.25     8.00
  2 (absent)      56.10     0.25     7.65
  0 (high_vis)    64.00     0.25     7.55
  0 (high_vis)    71.80     0.25     6.30
  1 (low_vis)     78.35     0.25     7.20
  1 (low_vis)     85.80     0.25     6.00
  0 (high_vis)    92.05     0.25     8.35
  0 (high_vis)   100.65     0.25     6.85
  0 (high_vis)   107.75     0.25     8.25
  1 (low_vis)    116.25     0.25     9.00
  0 (high_vis)   125.50     0.25     7.75
  2 (absent)     133.50     0.25     7.55
  2 (absent)     141.30     0.25     7.45
  2 (absent)     149.00     0.25     6.10
  0 (high_vis)   155.35     0.25     8.75
  1 (low_vis)    164.35     0.25     5.60
  1 (low_vis)    170.20     0.25     7.55
  1 (low_vis)    178.00     0.25     6.80
  0 (high_vis)   185.05     0.25     8.45
  1 (low_vis)    193.75     0.25     7.65
  1 (low_vis)    201.65     0.25     8.85
  2 (absent)     210.75     0.25     7.70
  2 (absent)     218.70     0.25     6.35
  2 (absent)     225.30     0.25     8.55
  2 (absent)     234.10     0.25     8.35
  0 (high_vis)   242.70     0.25     8.65
  0 (high_vis)   251.60     0.25     5.90
  0 (high_vis)   257.75     0.25     8.00
  2 (absent)     266.00     0.25     6.75
  0 (high_vis)   273.00     0.25     7.20
  2 (absent)     280.45     0.25     7.55
  2 (absent)     288.25     0.25     5.60
  2 (absent)     294.10     0.25     7.00
  1 (low_vis)    301.35     0.25     8.30
  2 (absent)     309.90     0.25     8.00
  1 (low_vis)    318.15     0.25     7.80
  0 (high_vis)   326.20     0.25     8.50
  0 (high_vis)   334.95     0.25     6.25
  1 (low_vis)    341.45     0.25     8.30

-- run 9 events --
class             start      dur     rest
-----             -----     ----     ----
  2 (absent)       6.00     0.25     7.90
  2 (absent)      14.15     0.25     7.00
  1 (low_vis)     21.40     0.25     8.65
  0 (high_vis)    30.30     0.25     7.85
  0 (high_vis)    38.40     0.25     5.75
  1 (low_vis)     44.40     0.25     7.25
  2 (absent)      51.90     0.25     5.90
  1 (low_vis)     58.05     0.25     8.80
  1 (low_vis)     67.10     0.25     8.80
  1 (low_vis)     76.15     0.25     7.35
  0 (high_vis)    83.75     0.25     8.80
  2 (absent)      92.80     0.25     8.80
  1 (low_vis)    101.85     0.25     8.90
  2 (absent)     111.00     0.25     6.15
  2 (absent)     117.40     0.25     5.75
  0 (high_vis)   123.40     0.25     8.00
  0 (high_vis)   131.65     0.25     7.50
  0 (high_vis)   139.40     0.25     6.80
  2 (absent)     146.45     0.25     6.50
  0 (high_vis)   153.20     0.25     7.65
  2 (absent)     161.10     0.25     7.30
  2 (absent)     168.65     0.25     8.75
  0 (high_vis)   177.65     0.25     8.00
  0 (high_vis)   185.90     0.25     8.70
  2 (absent)     194.85     0.25     7.20
  1 (low_vis)    202.30     0.25     6.75
  1 (low_vis)    209.30     0.25     7.70
  0 (high_vis)   217.25     0.25     6.30
  0 (high_vis)   223.80     0.25     5.85
  1 (low_vis)    229.90     0.25     6.70
  2 (absent)     236.85     0.25     8.90
  1 (low_vis)    246.00     0.25     7.90
  0 (high_vis)   254.15     0.25     5.70
  1 (low_vis)    260.10     0.25     6.35
  1 (low_vis)    266.70     0.25     5.60
  1 (low_vis)    272.55     0.25     8.10
  2 (absent)     280.90     0.25     7.25
  1 (low_vis)    288.40     0.25     7.10
  2 (absent)     295.75     0.25     7.95
  0 (high_vis)   303.95     0.25     6.15
  0 (high_vis)   310.35     0.25     9.00
  0 (high_vis)   319.60     0.25     5.80
  2 (absent)     325.65     0.25     7.35
  1 (low_vis)    333.25     0.25     8.60
  2 (absent)     342.10     0.25     7.65

-- run 10 events --
class             start      dur     rest
-----             -----     ----     ----
  1 (low_vis)      6.00     0.25     8.35
  2 (absent)      14.60     0.25     8.60
  0 (high_vis)    23.45     0.25     7.90
  0 (high_vis)    31.60     0.25     7.70
  1 (low_vis)     39.55     0.25     8.65
  1 (low_vis)     48.45     0.25     5.50
  2 (absent)      54.20     0.25     8.55
  2 (absent)      63.00     0.25     5.50
  0 (high_vis)    68.75     0.25     8.10
  1 (low_vis)     77.10     0.25     7.85
  0 (high_vis)    85.20     0.25     7.75
  0 (high_vis)    93.20     0.25     7.05
  0 (high_vis)   100.50     0.25     7.00
  2 (absent)     107.75     0.25     8.20
  1 (low_vis)    116.20     0.25     6.00
  2 (absent)     122.45     0.25     7.50
  2 (absent)     130.20     0.25     6.70
  0 (high_vis)   137.15     0.25     5.70
  1 (low_vis)    143.10     0.25     8.90
  2 (absent)     152.25     0.25     8.05
  0 (high_vis)   160.55     0.25     7.60
  1 (low_vis)    168.40     0.25     8.70
  1 (low_vis)    177.35     0.25     6.70
  0 (high_vis)   184.30     0.25     7.90
  1 (low_vis)    192.45     0.25     7.20
  0 (high_vis)   199.90     0.25     6.00
  2 (absent)     206.15     0.25     5.65
  1 (low_vis)    212.05     0.25     8.20
  1 (low_vis)    220.50     0.25     8.15
  2 (absent)     228.90     0.25     6.10
  1 (low_vis)    235.25     0.25     8.75
  1 (low_vis)    244.25     0.25     7.05
  0 (high_vis)   251.55     0.25     8.30
  2 (absent)     260.10     0.25     9.00
  2 (absent)     269.35     0.25     7.00
  2 (absent)     276.60     0.25     7.15
  0 (high_vis)   284.00     0.25     5.50
  0 (high_vis)   289.75     0.25     7.95
  2 (absent)     297.95     0.25     6.25
  2 (absent)     304.45     0.25     6.85
  0 (high_vis)   311.55     0.25     5.70
  1 (low_vis)    317.50     0.25     6.35
  1 (low_vis)    324.10     0.25     8.30
  2 (absent)     332.65     0.25     8.10
  0 (high_vis)   341.00     0.25     8.75

